subject_number,type_of_activity,tBodyAcc-mean()-X,tBodyAcc-mean()-Y,tBodyAcc-mean()-Z,tBodyAcc-std()-X,tBodyAcc-std()-Y,tBodyAcc-std()-Z,tGravityAcc-mean()-X,tGravityAcc-mean()-Y,tGravityAcc-mean()-Z,tGravityAcc-std()-X,tGravityAcc-std()-Y,tGravityAcc-std()-Z,tBodyAccJerk-mean()-X,tBodyAccJerk-mean()-Y,tBodyAccJerk-mean()-Z,tBodyAccJerk-std()-X,tBodyAccJerk-std()-Y,tBodyAccJerk-std()-Z,tBodyGyro-mean()-X,tBodyGyro-mean()-Y,tBodyGyro-mean()-Z,tBodyGyro-std()-X,tBodyGyro-std()-Y,tBodyGyro-std()-Z,tBodyGyroJerk-mean()-X,tBodyGyroJerk-mean()-Y,tBodyGyroJerk-mean()-Z,tBodyGyroJerk-std()-X,tBodyGyroJerk-std()-Y,tBodyGyroJerk-std()-Z,tBodyAccMag-mean(),tBodyAccMag-std(),tGravityAccMag-mean(),tGravityAccMag-std(),tBodyAccJerkMag-mean(),tBodyAccJerkMag-std(),tBodyGyroMag-mean(),tBodyGyroMag-std(),tBodyGyroJerkMag-mean(),tBodyGyroJerkMag-std(),fBodyAcc-mean()-X,fBodyAcc-mean()-Y,fBodyAcc-mean()-Z,fBodyAcc-std()-X,fBodyAcc-std()-Y,fBodyAcc-std()-Z,fBodyAccJerk-mean()-X,fBodyAccJerk-mean()-Y,fBodyAccJerk-mean()-Z,fBodyAccJerk-std()-X,fBodyAccJerk-std()-Y,fBodyAccJerk-std()-Z,fBodyGyro-mean()-X,fBodyGyro-mean()-Y,fBodyGyro-mean()-Z,fBodyGyro-std()-X,fBodyGyro-std()-Y,fBodyGyro-std()-Z,fBodyAccMag-mean(),fBodyAccMag-std(),fBodyBodyAccJerkMag-mean(),fBodyBodyAccJerkMag-std(),fBodyBodyGyroMag-mean(),fBodyBodyGyroMag-std(),fBodyBodyGyroJerkMag-mean(),fBodyBodyGyroJerkMag-std()
1,walking,0.277330758736842,-0.0239198433606579,-0.0918747569125263,-0.242047730157895,-0.235184802052,0.103464762,0.141874632337931,0.0645958717595385,0.0302357356226415,0.0989240218453125,-0.0261512336042857,-0.0584710807580645,-0.871417276631579,-0.869751992139785,-0.8083805562,-0.617664569047619,-0.43637640796875,-0.0934568451515151,-0.252951782149296,-0.240021302768293,-0.269495654,-0.186137650342029,-0.121091335701493,-0.125075463636232,0.000452922603225804,0.0384520278081967,0.0240862962710145,-0.0265390167589855,-0.0479464611567164,-0.0746932908656716,0.0114445123846154,0.07727363234375,0.0699691817696429,0.0373769873820896,-0.243344634433735,-0.269848535215909,-0.345274422857143,-0.23814228278481,0.1769154585,0.253540274633333,0.0336361540542857,-0.00709019021694916,0.0190331274953846,-0.00388251895454546,-0.00048233939999999,0.0152400535882353,-0.2668280600875,-0.185135550461538,-0.171513358277917,-0.101135565133333,-0.150658869561644,-0.0854102688485897,-0.642737477989247,-0.672224753935484,-0.717037093774194,-0.699599004468085,-0.716589161489362,-0.723402927765958,-0.693495320638298,-0.654205819904255,-0.74071663051579,-0.747792007157895,-0.558640012329787,-0.577680853550562,-0.462987779595506,-0.474875776288889
1,walking_down,0.255461689622642,-0.0292829607533333,-0.0851857408511321,-0.312943463830189,-0.158707037056667,0.0220485541027027,-0.0513367269864865,-0.0258846092685714,0.11039144716129,0.0534218852307692,-0.145496808975758,-0.0477250256571429,-0.775673853769231,-0.850242066153846,-0.754970196862745,-0.78145711344,-0.66444068627907,-0.502798565543478,-0.528260377857143,-0.314433968,-0.149400122777778,-0.080381876,0.203077630645161,0.125583047272727,-0.0794555776485714,-0.0295195245833333,-0.0348092304029412,-0.0387110368888889,-0.140325799093023,-0.288122659722222,-0.114396177666667,-0.147041777392857,-0.12118283725,-0.159846391086957,-0.390810274020408,-0.520442480947368,-0.379262046595745,-0.474852157027027,0.124320298222222,-0.0274247855714286,-0.0171641520756757,-0.05351573555,-0.101041593709302,-0.188406529659091,-0.164686869009091,-0.195609457636,-0.0422555817056818,-0.274151754046667,-0.241586544581818,-0.284306495232558,-0.218735599687234,-0.250546211255319,-0.831477611698113,-0.79426729754717,-0.810396263396226,-0.824155763018868,-0.856451601886793,-0.868783906603774,-0.86329734,-0.86406917,-0.901691505998113,-0.898572178490566,-0.473296194142222,-0.43897823244898,-0.448691074520455,-0.442601649545455
1,walking_up,0.289188320408163,-0.0222363954285714,-0.0706313127632653,-0.0851345751607143,0.0120204953636364,-0.07202194309525,0.0265618004666667,0.0886898121072414,0.103174977140625,0.0114344525333333,0.113393983866667,0.0887034178611111,-0.685116169795918,-0.838006779387755,-0.851064579979167,-0.768177701914894,-0.708632972285714,-0.265355215897436,-0.150952761868421,-0.136946055358333,-0.0766640590269444,-0.044570188296875,0.0101258523421053,-0.144552582473684,0.05884944075,-0.04157828003125,-0.0132485765955882,-0.0883842886666667,-0.130453147268571,-0.0331654258518518,0.0521883566,0.0616439966206897,-0.0370474599487179,-0.0765572414848485,-0.313907870953488,-0.264971017795238,-0.264167038317073,-0.313845195675676,0.142873474555556,0.2189952289,0.039086262190469,0.0923551136103448,0.0690385111322581,0.0100999356117647,-0.00378170652777778,-0.0279098933939394,-0.241470875621622,-0.14887520927027,-0.0422247832823529,-0.0937737545348837,-0.310070701351351,-0.172922427405405,-0.659964460204082,-0.648125766595745,-0.629553207061225,-0.679831264583333,-0.696300335510204,-0.628542538520833,-0.592663348586957,-0.624821461777778,-0.704261455306123,-0.720436832244898,-0.578429046632653,-0.628916254428571,-0.537778357543478,-0.535313754828261
1,sitting,0.261237565425532,-0.01614139586575,-0.0823936957659574,-0.915552612954546,-0.899090387021277,-0.963154742340426,-0.08819960688,0.17530978797037,0.15259419208,-0.0739947745720588,-0.0474697535714286,0.00169306058333333,-0.822469555227273,-0.846150970434783,-0.873702678851064,-0.829366925468889,-0.695452080369565,-0.669828583627907,-0.983616311590909,-0.844883305238095,-0.686889745454545,-0.0625811193333333,0.262972873703704,0.537570394615385,0.0803268645845714,-0.0478171277206897,0.0489497235235294,-0.017097746696875,0.000733436870967735,-0.0361316144102564,0.0636299173617647,-0.0771374971370968,0.0738051692972973,0.0338848861166667,-0.805460239697674,-0.785634797113636,-0.784037032,-0.844226705555556,0.171116073410345,0.168983641791667,-0.0273702083548387,-0.189514141915152,-0.227124210685714,-0.249729324225714,-0.357532532,-0.341043589292683,-0.432723094926829,-0.587252738933333,-0.518672697512821,-0.523580686317073,-0.67766989602381,-0.789880916651163,-0.992491833404255,-0.990099152127659,-0.990388013829787,-0.994967257021277,-0.995200861702128,-0.990853243404255,-0.993864549361702,-0.992415594255319,-0.980681000851064,-0.972795291702128,-0.931765113404255,-0.95353063893617,-0.61912304395,-0.55063374378125
1,standing,0.278917629056604,-0.0179727781862745,-0.107199208962264,-0.961057608735849,-0.97963561,-0.976353386603774,-0.0475194780458333,0.188781420311765,0.0866574519571429,0.0901581313408571,-0.0128275460756757,0.000488482094117647,-0.876133722365385,-0.814176075306122,-0.580677776666667,-0.29165954695641,-0.135918816090909,0.00474332003888889,-0.0851718188571429,0.382041046153846,0.631880486969697,0.532665112692308,0.249454622093023,-0.460559781621622,0.0842666600596875,0.0225010438372093,-0.0476851411842105,-0.0513487010780488,-0.211900895848649,-0.289104439,-0.00769009006666667,0.129695466580645,-0.139898288745238,-0.229699786215686,-0.531342579534884,-0.330552598,-0.89463321755102,-0.71282001624902,0.135520232097143,0.0670546171433333,-0.3782365503125,-0.415481916452381,-0.490923897912245,-0.637852625985714,-0.818939141729412,-0.872902318411765,-0.855015074849057,-0.937947228461539,-0.927366059056604,-0.957286518679245,-0.985937772641509,-0.985061016981132,-0.99674768490566,-0.995600311698113,-0.992685104339623,-0.99260176245283,-0.99315227754717,-0.991137193773585,-0.996776536981132,-0.997032376792453,-0.98836154490566,-0.989305501698113,-0.815578282679245,-0.832375854803922,-0.451301803021739,-0.519487469829787
1,laying,0.22159824394,-0.0523983711090909,-0.0922897063704444,-0.802263062489796,-0.89699284926,-0.891096321276596,-0.0181209128965517,0.0931233913688889,0.171686975657895,-0.04145620744525,0.0329990601,0.0776051821081081,-0.72322848,-0.730097593232558,-0.580152507302326,-0.546760677880488,-0.382478508527778,-0.0884366471290323,-0.517195902941177,-0.0142503329411765,0.105313346551724,0.207415430555556,-0.111638339393939,-0.0297839338888889,-0.0587443934741935,0.0156364644571429,-0.102746840073171,-0.268501099976471,-0.1514547416,-0.401982982513514,-0.00455485117812499,0.0253203568933333,-0.0579550928564103,-0.0992126907058823,-0.581920376341464,-0.493028866666667,-0.760757886456522,-0.672778704487234,0.0406198600384615,0.169242278225,-0.328173809427273,-0.276942597262791,-0.486302286941177,-0.44773656355,-0.492835042960526,-0.447833413159091,-0.520608903688889,-0.689150239632609,-0.688855901155556,-0.719258028979167,-0.819280610586957,-0.797367654958333,-0.9880538624,-0.989120724,-0.9877216886,-0.972394584,-0.9795925106,-0.9816594304,-0.988729202,-0.9851350536,-0.9490776672,-0.9392137882,-0.8891805194,-0.905255635306122,-0.415285351,-0.443245255
2,walking,0.276426586440678,-0.0229902247619608,-0.0898730930016949,-0.378833960762712,-0.165210482979167,-0.292347959362712,0.0642127350744186,-0.0573891073513514,-0.0102537049195652,-0.085337898627907,0.00499269825454545,0.116597043053571,-0.874547091578947,-0.827258323898305,-0.788628687966102,-0.731273708644068,-0.656249327272727,-0.419385828734694,-0.317409211409091,-0.305096525625,-0.3054826066475,-0.0805976927692307,-0.0708097734878049,-0.049340665069697,-0.0383794519861111,0.0193939730710811,0.0544239813542857,0.0413712416590909,-0.0182927804102326,-0.0372428659583333,-0.050784527255814,-0.0872942065897727,0.00273457057142857,-0.00917980259000001,-0.412692265157895,-0.451819312833333,-0.45368728754717,-0.576469245833333,0.115606134918919,0.148132165852941,0.0132408425564102,-0.0235060410219512,-0.00611139019230769,-0.0312350803545455,-0.0430385700555556,-0.0119902096304348,-0.412113875425532,-0.282196853108696,-0.1780057242,-0.129537970243902,-0.0943141122391305,-0.180371899595918,-0.749999798983051,-0.771336154210526,-0.763690425966102,-0.839755974035088,-0.812938755172414,-0.823841513607143,-0.744008153050848,-0.723174627627119,-0.839241143965517,-0.810382225172414,-0.620903521724138,-0.653077653220339,-0.394247571153846,-0.474751806756098
2,walking_down,0.247164790395833,-0.0345543272838889,-0.108518721783333,-0.271192684854167,-0.270530237,0.109943311575,0.05448939584375,0.0152245435,0.041753708588,0.0725442190967742,0.0389506628316667,-0.0364423857486487,-0.52218976,-0.682732215191489,-0.742493038222222,-0.787850616888889,-0.722057614125,-0.753594624488889,-0.357218345651163,-0.387831873775,-0.386897814232558,-0.351636912189189,-0.235554244605263,-0.225299327854286,-0.13014625707561,-0.222628427892857,0.0113755262648718,-0.135652441807692,0.0444446550789474,-0.117590233464286,0.108740799255172,0.016735806875,0.08024872711375,0.0195125201448276,-0.360063509867442,-0.397096080157143,-0.111459024473684,-0.354947948378378,0.232687971777778,0.102594126722581,0.0931223218076923,0.1041928591,0.0833882729366667,0.107465868,0.088356383235625,0.06297053092,-0.452970516609756,-0.41034048925,-0.404521062575,-0.375259304439024,-0.383318592767568,-0.279315827846154,-0.717003471875,-0.696268346666667,-0.6818763275,-0.773697799166667,-0.670841791666667,-0.682662837708333,-0.787117128541667,-0.778242028125,-0.787225153125,-0.798500611666667,-0.645227669326087,-0.637888603086957,-0.563545200511111,-0.58418907787234
2,walking_up,0.27761534806383,-0.0288067361512821,-0.0952521937531915,-0.1082891106,0.0934807353125,0.106053852347059,0.0370796683945946,-0.04706566268,0.138860644225806,0.0193879497945882,0.06588897476,0.116367697957576,-0.192047842947368,-0.506992588230769,-0.605142017263158,-0.545880218176191,-0.679052783734211,-0.502460684133333,-0.0944111513635294,0.0162377300580645,0.00571619081481482,-0.0003759418242424,-0.0801883251428571,-0.0768364884193548,0.00812075901034483,0.138651792310345,-0.032321965846,-0.0659532441857143,0.0290535312633333,-0.0489580196875,-0.0788401671806452,-0.157242757712303,-0.0209201633965517,0.06570110962,-0.0851183366764706,-0.108653898098889,-0.176445253716216,-0.264295735769231,-0.174430440971429,-0.160195733241667,0.153954553964286,0.1033131874,0.0766334416357143,0.040335246525,0.059216754104,0.13370342036129,-0.125669602025,-0.171090487407692,-0.251289287601071,-0.07368686655,-0.196179084121212,-0.104943894,-0.438388484470588,-0.256954256681818,-0.457715205567568,-0.323735810871795,-0.357657319571795,-0.389226067713636,-0.435394538243902,-0.38856741347,-0.39712727095122,-0.397869254081395,-0.513723104888889,-0.496659916046512,-0.567375210953489,-0.515969800942222
2,sitting,0.277087351739131,-0.0194380147325581,-0.100973765891304,-0.92968165326087,-0.958576656521739,-0.958614026521739,-0.01878191792,0.153647289691304,0.0688531768794118,-0.0201254403030303,0.0129065135939394,-0.04488166509375,-0.89855257826087,-0.886673286304348,-0.72826478327907,-0.5670092592,-0.330253519575758,-0.0769181024333333,-0.324076421818182,0.00714184807692312,0.734407101739131,0.69037044962963,0.448874838846154,0.164969022058824,0.0487047158055556,-0.0468847169037037,0.04720968053125,-0.0830516254365854,-0.25332902672973,-0.349393202264706,0.0232121254787879,0.00619226230178572,-0.18477877327027,-0.17302593085,-0.474312528064516,-0.0860260354545455,-0.746456612954546,-0.6582766755,0.0839259607774194,0.0430045909846154,-0.297218407545,-0.540037167179487,-0.659569873166667,-0.767623232222222,-0.868070739652174,-0.93920910452381,-0.864850451108696,-0.935048105,-0.949847611363636,-0.919468430217391,-0.950246709565217,-0.972301896304348,-0.990110418260869,-0.988004572173913,-0.989515255434783,-0.987938855652174,-0.984543532608696,-0.984945835652174,-0.996901485652174,-0.99476009326087,-0.98319596,-0.981083071521739,-0.864735000488889,-0.822497976444445,-0.441052854428947,-0.4433840665
